,text
828,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Öğretmenlere zorunlu çalışma affı gündemde midir?[/INST]  Halen yürürlükte bulunan Öğretmen Atama ve Yer Değiştirme Yönetmeliğine göre 06/05/2010 tarihinden sonra Bakanlığımız öğretmen kadrolarında göreve başlayan öğretmenler zorunlu çalışma yükümlüsüdür. Zorunlu çalışma yükümlülüğüne ilişkin herhangi bir mevzuat düzenlemesi yapılması durumunda Bakanlığımızca kamuoyuna gerekli açıklama yapılacaktır.</s>
829,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sözleşmeli öğretmen atamasında (Türkçe, felsefe, fizik, kimya, biyoloji, Türk dili ve edebiyatı, sosyal bilgiler, tarih, coğrafya, bilişim teknolojileri, v.s...) alanlara fazla kontenjan talep ediyorum.[/INST]  Bakanlığımıza atama izni verilen öğretmen kadrolarının alanlar itibariyle dağılımında, ülke genelinde öğretmen ihtiyacı bulunan eğitim kurumları ve illerin alanlar bazında ihtiyaçları dikkate alınmak suretiyle planlama yapılmaktadır. Bu planlamada ülke genelinde dengeli öğretmen dağılımı esas alınmakta, herhangi bir alanın öncelikli hale getirilmesi söz konusu olamamaktadır.</s>"
830,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Daha önce Bakanlık kadrolarında görev yapan ve istifa ederek ayrılan öğretmenlere yönelik yeniden atama ya da kurumlar arası yeniden atama yapılacak mıdır?[/INST]  Bakanlığımızca Eylül 2016 itibariyle sözleşmeli öğretmenlik uygulamasına geçilmiştir. Yeniden atama ve kurumlar arası yeniden atama kapsamında öğretmen atamaları, Öğretmen Atama ve Yer Değiştirme Yönetmeliği kapsamında Bakanlığımızca yapılan duyurular doğrultusunda gerçekleştirilmekte, başvurular elektronik başvuru sayfası aracılığıyla alınmaktadır. Ancak şu an için yeniden atama ve kurumlar arası yeniden öğretmen ataması kapsamında herhangi bir planlama ya da takvim bulunmamakla birlikte bu yönde bir atama olması halinde Bakanlığımız resmî internet adresinden (http://personel.meb.gov.tr) yayımlanacak duyuruda gerekli açıklamalara yer verilecektir. Bu çerçevede yapılacak duyuruları takip ediniz.</s>"
831,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>KPSS sıralamasına göre kontenjanda olmama rağmen sözleşmeli öğretmen sözlü sınavına neden çağrılmadım?[/INST]  Bakanlığımızca KPSS' ye ilişkin herhangi bir sıralama yayımlanmamaktadır. Sözleşmeli öğretmen atama işleminde, her alan için kontenjan sayısının 3 katı aday KPSS puan üstünlüğüne göre belirlenerek sözlü sınava katılacak adaylar belirlenmekte, alanlar bazında minimum puanlar Bakanlığımız resmî internet adresinde (http://personel.meb.gov.tr) yayımlanmaktadır. KPSS sonucuna göre alanında 3 katı aday arasına giremeyen adaylar sözlü sınava katılmaya hak kazanamamaktadır.</s>"
832,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Zorunlu çalışma ek hizmet puanı kimlere verilir?[/INST]  17/04/2015 tarihli ve 29329 sayılı Resmî Gazete'de yayınlanan Millî Eğitim Bakanlığı Öğretmen Atama ve Yer Değiştirme Yönetmeliğinin 40 ıncı maddesinin altıncı fıkrasında belirtilen ""Zorunlu çalışma yükümlülüğünü yerine getirmek üzere zorunlu hizmet alanlarına atanıp zorunlu hizmet alanlarında fiilen görev yapmakta olan öğretmenlerden..."" hükmünden de anlaşılacağı üzere, zorunlu çalışma kapsamındaki eğitim kurumlarından birine 06/05/2010 tarihinden sonra zorunlu çalışma yükümlüğünü yapmak üzere atanıp halen aynı kurumda görevine devam etmekte olan öğretmenler zorunlu çalışma ek hizmet puanından yararlanabilmektedir.</s>"
833,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Ders ücreti karşılığında belirli bir süre çalışanların sözleşmeli öğretmen olarak ataması yapılmakta mıdır?[/INST]  Hayır yapılmamaktadır. Bakanlığımız resmî eğitim kurumlarında ek ders ücreti karşılığında görev yapanlardan 652 sayılı Kanun Hükmünde Kararnameye eklenen Geçici 15 inci madde (mülga) gereğince Bakanlığımız resmî eğitim kurumlarında sözleşmeli öğretmen istihdam edilmek üzere verilen 5000 kontenjana öğretmen atama işlemleri yasa maddesinde belirtilen 6 aylık süre içerisinde tamamlanmış olup bugün itibariyle bu doğrultuda bir atama işleminin gerçekleştirilmesine olanak bulunmamaktadır. Bakanlığımız eğitim kurumlarına sözleşmeli öğretmen atama işlemleri 652 sayılı Kanun Hükmünde Kararname ile Sözleşmeli Öğretmen İstihdamına İlişkin Yönetmelik ve Öğretmen Atama ve Yer Değiştirme Yönetmeliği kapsamında gerçekleştirilmektedir. Öğretmen olarak atanabilmek için adayların KPSS den, atanacakları alan için Bakanlığımızca belirlenecek taban puan ve üzerinde puan almaları ve atama dönemlerinde yapılacak duyurular doğrultusunda usulüne uygun başvuruda bulunmaları gerekmektedir.</s>"
834,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Ders ücreti karşılığında görevlendirme işlemleri nasıl yapılmaktadır?[/INST]  Bakanlığımız eğitim kurumlarında ders ücreti karşılığında öğretmen görevlendirme işlemleri Millî Eğitim Bakanlığı Yönetici ve Öğretmenlerinin Ders ve Ek Ders Saatlerine İlişkin Kararın 9 uncu maddesi kapsamında Valilikler/Kaymakamlıklarca yapılmaktadır.</s>
835,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sözleşmeli öğretmenlerin asker öğretmen olarak görev yaptıkları süre sözleşme süresinden sayılacak mıdır?[/INST]  Sözleşmeli öğretmenler asker öğretmen olarak görev yapmak üzere görevden ayrıldıklarında sözleşmeleri feshedilmektedir. Bu çerçevede 652 sayılı Kanun Hükmünde Kararnamenin Ek 4 üncü maddesinin üçüncü fıkrası gereğince; sözleşmeli öğretmenlerin asker öğretmen olarak görev yaptıkları süreler sözleşme süresinden sayılamamaktadır.</s>
836,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Sözleşmeli öğretmenler asker öğretmenlik yapabilir mi?[/INST]  Sözleşmeli öğretmenler asker öğretmenlik yapabilmektedir. Askerliğini ""asker öğretmen"" olarak yapmak isteyenlerin, kurumlarından öğretmen olduklarına dair Ek-A belgesi alarak askerlik şubelerine vermeleri gerekmektedir. Asker öğretmen olarak Millî Eğitim Bakanlığı emrine verilmesi uygun görülenlerin seçimleri Millî Savunma Bakanlığınca yapılmaktadır.</s>"
837,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Güvenlik soruşturmaları yapılacak mıdır?[/INST]  Güvenlik soruşturmalarına ilişkin ilgili kanun maddesi, Anayasa Mahkemesinin 24/7/2019 tarihli ve E.:2018/73; K.:2019/65 sayılı Kararı ile iptal edilmiştir. Bu kapsamda bu tarihten sonra yapılan atamalarda güvenlik soruşturması yapılmamaktadır. Ancak yasa koyucu ilgili makamlarca herhangi bir mevzuat düzenlemesi yapılması durumunda Bakanlığımızca ilgili mevzuatlar çerçevesinde işlem yapılacaktır.</s>"
838,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Bakanlığımıza bağlı eğitim kurumlarında ek ders ücreti karşılığında ders okutmak üzere görevlendirilenlerin sigorta prim gün sayıları nasıl belirlenir?[/INST]  Hazine ve Maliye Bakanlığının konu hakkındaki yazısı çerçevesinde uzman ve usta öğretici olarak görev yapanların prim ödeme gün sayılarının 30 günü aşmamak kaydıyla bir takvim ayı içerisinde hak kazandıkları brüt ek ders ücreti toplam tutarının, prime esas günlük kazanç alt sınırına bölünmesi sonucu; uzman ve usta öğretici statüsü dışında görev yapanların prim ödeme gün sayılarının ise, bir takvim ayındaki ek ders saati toplamının 7,5 saate bölünmesi suretiyle tespit edilmesi gerekmektedir. (Bakınız. Hazine ve Maliye Bakanlığının 09.07.2010 tarihli ve B.07.0.BMK.0.19. 115706-45/10283 sayılı yazısı.)</s>"
839,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Bakanlığımıza bağlı eğitim kurumlarında ek ders ücreti karşılığında ders okutmak üzere görevlendirilenlere haftada kaç saate kadar ders görevi verilebilir?[/INST]  Bakanlığımıza bağlı eğitim kurumlarında öğretmen ihtiyacını kadrolu ve sözleşmeli öğretmenlerle karşılanamadığı durumlarda, uzman ve usta öğretici olarak nitelendirilenlerden resmi görevi bulunmayanlara, okul öncesi, mesleki ve teknik orta öğretim, özel eğitim ve yaygın eğitim kurumlarında haftada 40 saate kadar, belirtilen nitelikleri taşımayanlardan olmak üzere iki farklı şekilde görevlendirme yapılmakta ve bunlar, fiilen yerine getirdikleri ders görevleri karşılığında ek ders ücretinden yararlanmaktadır.(Bakınız. Milli Eğitim Bakanlığı Yönetici ve Öğretmenlerinin Ders ve Ek Saatlerine İlişkin Karar ve Milli Eğitim Bakanlığı Kurumlarında Sözleşmeli veya Ek Ders Görevi ile Görevlendirilecek Uzman ve Usta Öğreticiler Hakkında Yönetmelik)</s>"
840,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Öğretmenlik Kariyer Basamakları Yazılı Sınavına Başvuruda Bulunacaklarda Aranacak Şartlar nelerdir?[/INST]  Uzman öğretmen unvanı için yapılacak yazılı sınava başvuruda bulunacak uzman öğretmenlerde; a) Yazılı sınav başvuru tarihinin son günü itibarıyla aday öğretmenlik dâhil öğretmenlikte en az on yıl hizmeti bulunmak, b) Öğretmen olarak görev yapıyor olmak, c) Kademe ilerlemesinin durdurulması cezası bulunmamak,  ç) Öğretmenlerin mesleki gelişimlerine yönelik hazırlanan en az 180 saatlik Uzman Öğretmenlik Eğitim Programını tamamlamış olmak, d) Uzman Öğretmenlik Mesleki Gelişim Çalışmalarını tamamlamış olmak, şartları aranacaktır. Başöğretmen unvanı için yapılacak yazılı sınava başvuruda bulunacak uzman öğretmenlerde ise; a) Yazılı sınav başvuru tarihinin son günü itibarıyla uzman öğretmenlikte en az on yıl hizmeti bulunmak,  b) Uzman öğretmen olarak görev yapıyor olmak, c) Kademe ilerlemesinin durdurulması cezası bulunmamak,  ç) Uzman öğretmenlerin mesleki gelişimlerine yönelik hazırlanan en az 240 saatlik Başöğretmenlik Eğitim Programını tamamlamış olmak,  d) Başöğretmenlik Mesleki Gelişim Çalışmalarını tamamlamış olmak, şartları aranacaktır.</s>"
841,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>2005-2006 yıllarında yapılan Öğretmenlik Kariyer Basamakları Sınavı puanı hala geçerli midir?[/INST]  Mülga Öğretmenlik Kariyer Basamaklarında Yükselme Yönetmeliğinin ""Sınavın değerlendirilmesi, sonuçlarının duyurulması ve geçerlik süresi"" başlıklı 17'nci maddesi gereğince 2005-2006 yıllarında yapılan sınav puanının geçerlik süresi dolmuştur.</s>"
842,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Kariyer basamakları sınavından kimler muaf tutulmaktadır?[/INST]  Lisansüstü eğitimini tamamlayan öğretmenler, uzman öğretmen unvanı için öngörülen yazılı sınava başvuruda bulunacaklarda aranan şartları taşımaları hâlinde uzman öğretmen unvanı için;  doktora eğitimini tamamlayan uzman öğretmenler, başöğretmen unvanı için öngörülen yazılı sınava başvuruda bulunacaklarda aranan şartları taşımaları hâlinde başöğretmen unvanı için başvuruda bulunmaları gerekmektedir.</s>"
843,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>12/05/2022 tarihinden önce atanan aday öğretmenlerin adaylıkları nasıl kaldırılacak?[/INST]  12/05/2022 tarihinden önce aday öğretmen olarak atananların adaylıkları; 17.4.2015 tarihli ve 29329 sayılı Resmî Gazete’de yayımlanan Millî Eğitim Bakanlığı Öğretmen Atama ve Yer Değiştirme Yönetmeliğinin adaylıkla ilgili yürürlükten kaldırılan hükümleri doğrultusunda hazırlanan Aday Öğretmen Yetiştirme Programı kapsamında eğitim ve uygulama görevlerini tamamlamaları ve en az bir yıl görev yapmış olmaları hâlinde kaldırılır.</s>
844,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>12/05/2022 tarihinden sonra atanmış olan aday öğretmenlerin adaylıkları nasıl kaldırılacaktır?[/INST]  12/05/2022 tarihinden sonra atanmış olan aday öğretmenlerin adaylıklarına yönelik iş ve işlemler, Aday Öğretmenlik ve Öğretmenlik Kariyer Basamakları Yönetmeliğinin aday öğretmenlere ilişkin hükümleri ve Millî Eğitim Bakanlığı Aday Öğretmen Yetiştirme Sürecine İlişkin Kılavuz doğrultusunda yürütülecektir. Söz konusu aday öğretmenlerin adaylıkları; il millî eğitim müdürünce belirlenen eğitim müfettişi/ilgili il millî eğitim müdür yardımcısı/il veya ilçe millî eğitim şube müdürünün başkanlığında, danışman öğretmen ve eğitim kurumu müdüründen oluşan Adaylık Değerlendirme Komisyonu tarafından, eğitim ve uygulama görevlerinden oluşan Aday Öğretmen Yetiştirme Programını tamamlayıp tamamlamadığına yönelik yapılan değerlendirme sonucunda söz konusu Programı tamamlamış olmaları hâlinde kaldırılacaktır.</s>"
845,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Öğretmenlik Alan Bilgisi Testi (ÖABT) hangi alanlarda yapılmaktadır?[/INST]  T.C. Cumhurbaşkanlığı İdari İşler Başkanlığı, Millî Eğitim Bakanlığı ile Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığı arasında, “Kamu Görevlerine İlk Defa Atanacaklar İçin Yapılacak Sınavlar Hakkında Genel Yönetmelik” kapsamında Öğretmenlik Alan Bilgisi Testi (ÖABT)' nin ÖSYM tarafından uygulanmasına ilişkin esasları belirlemek üzere Sınav Protokolü düzenlenmiştir. 2022 yılında Öğretmenlik Alan Bilgisi Testi uygulanacak alanlar; Türkçe, İlköğretim Matematik, Fen Bilimleri/Fen ve Teknoloji, Sosyal Bilgiler, Türk Dili ve Edebiyatı, Tarih, Coğrafya, Matematik (Lise), Fizik, Kimya, Biyoloji, Din Kültürü ve Ahlak Bilgisi, Yabancı Dil (İngilizce), Rehber Öğretmen, Sınıf Öğretmenliği, Okul Öncesi Öğretmenliği, İmam- Hatip Lisesi Meslek Dersleri Öğretmenliği ve Beden Eğitimi Öğretmenliği olarak belirlenmiştir.</s>"
846,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Öğretmenlik Uygulamaları dersi nasıl ve ne şekilde gerçekleştirilmektedir?[/INST]  Öğretmen yetiştiren fakültelerin son sınıfında okuyan öğrenciler ile Öğretmenlik Meslek Bilgisi Tezsiz Yüksek Lisans Programına/Pedagojik Formasyon Eğitimi Sertifika Programına devam eden öğrencilerin öğretmenlik uygulaması dersi; Millî Eğitim Bakanlığı ve Yükseköğretim Kurulu arasında imzalanan Eğitimde İş Birliği Protokolüne istinaden, Uygulama Öğrencilerinin Millî Eğitim Bakanlığına Bağlı Eğitim Kurumlarında Yapacakları Öğretmenlik Uygulamasına İlişkin Yönerge ile Talim ve Terbiye Kurulunun 20.02.2014 tarihli 9 sayılı Kararı “Öğretmenlik Alanları, Atama ve Ders Okutma Esasları” ve “Eki Çizelge”de belirtilen alanlarda gerçekleştirilmektedir. Öğretmenlik uygulaması dersi; Millî Eğitim Müdürlüğü Uygulama Koordinatörü ve Fakülte Uygulama Koordinatörünün iş birliğinde ilde görev yapan ve Öğretmenlik Uygulaması Danışmanlığı Eğitimi Kurs Belgesine sahip öğretmen sayısı/branşı göz önünde bulundurularak gerçekleştirilmektedir.</s>"
847,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Millî Eğitim Bakanlığına bağlı kurumlarda görev yapan personelin Bilimsel Toplantılara katılımı nasıl gerçekleştirilmektedir?[/INST]  Bakanlık Merkez ve Taşra teşkilatına bağlı resmî eğitim ve öğretim kurumlarında görev yapan personelin mesleki becerilerini geliştirmeleri, alan bilgisi ve mesleki gelişimlerini arttırmaları, alanlarındaki yeni gelişmeleri takip etmeleri için yurt içindeki ulusal ve uluslararası bilimsel toplantılara katılımları ilgi “Millî Eğitim Bakanlığına Bağlı Kurumlarda Görev Yapan Personelin Bilimsel Toplantılara Katılım Yönergesi hükümlerine göre gerçekleştirilmektedir. (Konu ile ilgili olarak 06.01.2020 ve 317256 sayılı Öğretmen Yetiştirme ve Geliştirme Genel Müdürlüğünün yazısını incelemek için tıklayınız.)</s>"
848,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Millî Eğitim Bakanlığı Bursunu almanın şartları nelerdir?[/INST]  3580 sayılı “Öğretmen ve Eğitim Uzmanı Yetiştiren Yükseköğretim Kurumlarında Parasız Yatılı ve Burslu Öğrenci Okutma ve Bunlara Yapılacak Sosyal Yardımlara İlişkin Yasa” kapsamında çıkarılan Öğretmen ve Eğitim Uzmanı Yetiştiren Yükseköğretim Kurumlarında Parasız Yatılı Veya Burslu Öğrenci Okutma ve Bunlara Yapılacak Sosyal Yardımlara İlişkin Yönetmeliğe göre Yetenekli ve başarılı öğrencileri öğretmen yetiştiren yükseköğretim kurumlarına yönlendirmek ve bu programlara talebi arttırmak, ayrıca öğretmenlik mesleğini cazip hale getirerek eğitimin kalitesini yükseltmek amacıyla burs verilmektedir. Bakanlığımız bursu, 06/03/2004 tarih ve 25394 sayılı Resmî Gazete’de yayımlanan 5102 sayılı Kanun ve bu Kanun uyarınca yürürlüğe konulan Yönetmelik çerçevesinde Yüksek Öğrenim Kredi ve Yurtlar Kurumu Genel Müdürlüğünce ödenmektedir. Buna göre; Bakanlığımızca kontenjan ayrılan öğretmen yetiştiren yükseköğretim programlarını; ilk beş tercihinde kazanan ve verilen kontenjana giren öğrencilere karşılıksız burs verilmektedir. Ayrıca; bu programlara ilk beş tercihinde yerleşen Anadolu Öğretmen Lisesi mezunlarının tamamına, kontenjana bakılmaksızın burs verilmektedir. Bakanlığımızca burs verilecek öğrencilerde ayrıca; 1. Türkiye Cumhuriyeti vatandaşı olmak, 2. 22 yaşını geçmemiş olmak,  3. Bu sınavın yapıldığı yıl ve daha sonraki yıllarda Mahkeme Kararı ile yaş küçültme işlemi yapmamış olmak, 4. ÖSYS tercih bildirim formunda öğretmen yetiştiren fakültelerin Millî Eğitim Bakanlığınca belirlenen programlarını (branşlarını) ilk beş tercihi arasında seçmiş ve bu programa ilk beş tercihinde yerleşerek (burs verilmesi planlanan branşların olduğu öğretmen yetiştiren eğitim fakültelerinin listesi ÖSYM tarafından Bakanlığımıza bildirildiği tarihten sonra açılan bölümlere yerleşenler, kontenjan ayrılmayan programları kazanan veya kontenjan ayrılmış olmakla birlikte ikinci öğretim kapsamında olan öğrenciler, açık öğretim kapsamında bulunanlar, Türkiye dışındaki devlet üniversitelerine yerleşen öğrenciler, Ek yerleştirmeyle yerleşen öğrenciler, özel yetenek sınavı ile yerleşen öğrenciler ve özel üniversitelere yerleşen öğrenciler hariç) kesin kaydını yaptırmış olmak, 5. Memuriyete atanmasına engel olacak nitelikte hükümlülüğü bulunmamak, 6.ÖSYM’ce yapılan puan sıralamasına göre, kaydolduğu program için Millî Eğitim Bakanlığınca belirlenen kontenjana girmiş olmak, bu programa giren Resmi Anadolu Öğretmen Lisesi mezunları için ise kontenjan sınırı aranmayacaktır.</s>"
849,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Hizmetiçi eğitim faaliyetlerine katılımcı seçim kriterleri nelerdir?[/INST]  Her faaliyetin seçim kriterleri düzenlenen faaliyetin özellikleri, hedef kitlesi, faaliyetin düzenlenme amaçlarına göre değişiklik göstermektedir. Ancak çoğu faaliyetlerde kursiyer seçiminde; kıdem, daha önce katıldığı merkezi hizmetiçi eğitim faaliyet sayısı ve bulunduğu yıl içerisinde başka bir merkezi faaliyete hiç katılmayanlar arasından iller için belirlenen kontenjana seçim yapılmaktadır.</s>"
850,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Merkezi faaliyetlere başvuru yaparken eğitim merkezleri neden görünmüyor?[/INST]  Başvurular faaliyetin konusuna göre yapılmaktadır. Eğitim merkezi, başvuruların tamamlanmasından sonra onay sürecinde görülmekte ve istenirse faaliyet başvurusundan vazgeçilebilmektedir.</s>"
851,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Hizmet içi eğitim faaliyetlerine katılamadığımızda ne yapmalıyız?[/INST]  Kursiyer olarak alındığınız faaliyetlere katılım zorunludur. (Millî Eğitim Bakanlığı Hizmet İçi Eğitim Yönetmeliği Madde 20,21). Ancak yasal mazeretiniz olması durumunda mazeretinizi belgeleri ile birlikte okul/kurumunuz aracılığıyla Bakanlığımıza bildirilmesi gerekmektedir.</s>"
852,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Başvuru yapmış olduğumuz faaliyete kabul edilip edilmediğimizi nasıl öğreniriz?[/INST]  Hizmetiçi eğitim faaliyetlerine ilişkin tüm süreç MEBBİS Hizmetiçi Eğitim Modülünden takip edilebilmektedir. Faaliyet onay süreci tamamlanan faaliyetlerde SMS ve e-posta ilgi bilgilendirme yapılmaktadır.</s>
853,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Gerçekleştirilen eğitimlerde kursiyer seçimlerinde dikkate alınan kriterler nelerdir?[/INST]  Öncelikle eğitim içeriğinde tespit edilen ihtiyaçlar doğrultusunda her ilin öğretmen istatistiki bilgileri belirlenir. Belirlenen il kontenjanları ve bütçe imkânları çerçevesinde eğitimlerin kaç kursiyere yönelik yapılacağı planlanır. Bu kapsamda kursiyer seçimleri yapılırken; •En son öğrenim durumu (lisans, yüksek lisans, doktora) •Eğitici eğitimlerinde yetişkin eğitimi vermiş olmak. •Eğitici eğitimlerinde yetişkin eğitimi almış olmak. •Merkezi hizmetiçi eğitimlere katılım durumu? •Ulusal veya Uluslararası projelerde görev almış olmak. gibi kriterler dikkate alınmaktadır.</s>"
854,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Eğitimlere nasıl başvuru yapabilirim?[/INST]  Yapılan duyurulara göre MEBBİS hizmetiçi eğitim modülünden veya veri toplama modülü üzerinden başvuru yapılabilir.</s>
855,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Veri Toplama Modülünden nasıl başvuru yapabilirim?[/INST]  Duyurusu yapılan eğitimler için başvuru tarihi içerisinde veri.meb.gov.tr adresinden veya MEBBİS uygulamasından tek şifreyle giriş yapılarak başvurular gerçekleştirilebilir.</s>
856,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Veri Toplama Modülünde başvuru bilgilerimi nasıl değiştirebilirim/ başvurumu nasıl iptal edebilirim?[/INST]  Başvuru bilgilerinin değiştirilmesi ve başvuru iptali için İl Milli Eğitim Müdürlükleri ile irtibata geçilebilir.</s>
857,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>24 Kasım Öğretmenler Günü için İl temsilcisi öğretmen seçilmek ve Cumhurbaşkanlığı külliyesine kabul görmek için ne yapılması gerekir[/INST]  Her yıl Bakanlığımız koordinesinde Ankara da gerçekleştirilen 24 Kasım Öğretmenler Günü Tören ve Etkinliklerine 81 ilimizden katılacak olan öğretmenlerimiz “Öğretmenler Günü Genelgesi” çerçevesinde görev yaptıkları illerince Genelge eki seçim esasları çerçevesince belirlenmekte olup, 81 ilden seçilen öğretmenlerimiz onay verilmesi halinde Sayın Milli Eğitim Bakanımız, Sayın Meclis Başkanımız ve Sayın Cumhurbaşkanımız tarafından kabul edilmektedir. Bunun dışında Bakanlığımızın herhangi bir uygulaması bulunmamaktadır.</s>"
858,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>24 Kasım Öğretmenler Günü dolayısıyla veliler ve okul aile birlikleri tarafından öğretmenlere bir hediye yarışı başlıyor. Velileri külfete sokacak meblağlar isteniyor. Bu sebeple Bakanlık eliyle Öğretmenler Günü hediyesiyle ilgili bir çerçeve çizilip yayınlamasının öğretmenler açısından güzel olacağını düşünüyorum.[/INST]  2015/21 sayılı ""Eğitimciler İçin Mesleki Etik İlkeler Hakkında Genelge"" de, ekte yer alan “EĞİTİM -ÖĞRETİM HİZMETİ VERENLER İÇİN MESLEKİ ETİK İLKELER” başlığı ve “Hediye Alma 12.Madde alt başlığında, “Eğitimci, Öğretmenler Günü gibi özel gün ve haftalarda verilen, maddi değeri olmayan sembolik nitelikteki hediyeler hariç, mesleki kararını ve tarafsızlığını etkilemesi muhtemel herhangi bir hediyeyi kabul etmez” denilmektedir. Sayın velilerimizin, Öğretmenler Gününde öğretmenlerimize hediye alma zorunluluğu yoktur. Ancak velilerimize ve öğrencilerimize, öğretmenlere hediye alma konusunda zorlama vb. davranışların olması durumunda, bahse konu hediyenin nerede ne miktarda alındığının net yazılı müracaatla bildirilmesi durumunda gerekli yasal işlemler okul/kurumlarca yapılmaktadır.</s>"
859,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Emekli öğretmen kartımı nereden çıkartabilirim?[/INST]  Emekli kimlik kartları kişinin emekli olduğu Millî Eğitim Müdürlüklerince 1 adet fotoğrafla beraber şahsen başvurulması halinde düzenlenerek verilmektedir.</s>
860,<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Öğretmen memnuniyetimizi ve teşekkürlerimizi hangi yolla bildirebiliriz?[/INST]  Öğretmene teşekkür mesajları 444 0 632 nolu MEBİM iletişim merkezine telefonları aranarak oluşturulabilmektedir.</s>
861,"<s>[INST]<<SYS>>You are an helpfull assistant. Your answers should always be in Turkish.<</SYS>>Emekli olan öğretmenler Hizmet Şeref Belgesini nereden alabilirler?[/INST]  Öğretmenler Günü Kutlama Yönetmeliği MADDE 16 – (1)(b)(c) de İl kutlama kurulları;” Bakanlık kadrolarından yıl içinde emekli olanlar için Hizmet Şeref Belgelerinin düzenlenmesini ve tören sırasında ilgililere veya temsilcilerine verilmesini, Törende kendisi veya temsilcisi bulunmayanların belgelerinin adreslerine gönderilmesini” sağlar denilmektedir. İlgi yönetmelikle sadece içinde bulunulan yıl içerisinde emekli olanlara Hizmet Şeref Belgesi verilmektedir.</s>"
